User ID,Item ID,Item Name,Actual Rating,Predicted Rating,MAE
53,16,Audio,4.0,1.4,2.6
53,17,Contacts,4.0,5.6,1.5999999999999996
53,18,Location,4.0,5.6,1.5999999999999996
53,19,Camera,4.0,3.0,1.0
53,25,C_L,4.0,2.5999999999999996,1.4000000000000004
54,21,A_L,2.0,3.3,1.2999999999999998
54,22,Co_L,3.0,1.85,1.15
54,26,A_L_Co,1.0,2.55,1.0
54,29,C_L_Co,1.0,1.0,0.0
54,30,C_L_Co_A,1.0,1.0,0.0
55,16,Audio,2.0,1.5999999999999996,0.40000000000000036
55,17,Contacts,2.0,4.6,2.5999999999999996
55,18,Location,3.0,4.3999999999999995,1.3999999999999995
55,22,Co_L,4.0,4.0,2.0
55,23,A_C,3.0,3.1999999999999997,1.0
55,24,C_Co,3.0,2.1999999999999997,1.0
56,16,Audio,7.0,1.0,6.0
56,18,Location,7.0,3.0,4.0
56,23,A_C,1.0,4.1,3.0999999999999996
56,28,C_L_A,1.0,5.1,0.0
56,30,C_L_Co_A,3.0,3.0,2.0
57,18,Location,4.0,6.666666666666667,2.666666666666667
57,19,Camera,4.0,3.0,1.0
57,26,A_L_Co,4.0,4.8,0.7999999999999998
57,27,C_Co_A,4.0,3.0,1.0
57,29,C_L_Co,4.0,1.666666666666667,2.333333333333333
58,20,A_Co,6.0,6.166666666666667,0.16666666666666696
58,21,A_L,6.0,4.166666666666667,1.833333333333333
58,22,Co_L,6.0,4.1,1.9000000000000004
58,25,C_L,1.0,3.3500000000000005,2.3500000000000005
58,29,C_L_Co,1.0,4.15,0.0
59,17,Contacts,7.0,4.35,2.6500000000000004
59,20,A_Co,6.0,4.6,1.4000000000000004
59,24,C_Co,2.0,4.6,2.5999999999999996
59,26,A_L_Co,6.0,3.6,2.4
59,28,C_L_A,1.0,3.85,2.85
60,16,Audio,5.0,3.8,1.2000000000000002
60,21,A_L,4.0,4.05,0.04999999999999982
60,23,A_C,2.0,1.0,1.0
60,24,C_Co,2.0,3.55,1.5499999999999998
60,28,C_L_A,4.0,1.0,3.0
61,16,Audio,7.0,1.0,6.0
61,17,Contacts,6.0,4.133333333333333,1.8666666666666671
61,20,A_Co,6.0,3.5999999999999996,2.4000000000000004
61,21,A_L,3.0,5.2,2.2
61,25,C_L,2.0,4.6,2.5999999999999996
61,26,A_L_Co,1.0,6.3999999999999995,2.0
62,18,Location,7.0,2.0,5.0
62,19,Camera,2.0,3.25,1.25
62,25,C_L,2.0,1.6499999999999997,0.3500000000000003
62,27,C_Co_A,2.0,2.65,0.6499999999999999
62,30,C_L_Co_A,2.0,2.45,0.0
63,16,Audio,3.0,4.95,1.9500000000000002
63,23,A_C,1.0,1.0,0.0
63,27,C_Co_A,2.0,2.0,1.0
63,29,C_L_Co,2.0,1.0,1.0
63,30,C_L_Co_A,2.0,1.2000000000000002,0.7999999999999998
65,22,Co_L,3.0,2.4166666666666665,0.5833333333333335
65,23,A_C,2.0,1.0,1.0
65,24,C_Co,1.0,1.9166666666666665,0.9166666666666665
65,29,C_L_Co,1.0,1.15,0.0
65,30,C_L_Co_A,1.0,1.15,0.0
66,21,A_L,1.0,1.9,0.8999999999999999
66,26,A_L_Co,3.0,1.7999999999999998,2.0
66,27,C_Co_A,1.0,1.0,0.0
66,28,C_L_A,1.0,1.2999999999999998,0.0
66,30,C_L_Co_A,1.0,1.2999999999999998,0.0
67,16,Audio,3.0,3.05,0.04999999999999982
67,19,Camera,1.0,5.416666666666667,4.416666666666667
67,20,A_Co,4.0,1.7999999999999998,2.2
67,24,C_Co,2.0,2.3,1.0
67,28,C_L_A,2.0,1.0,1.0
68,17,Contacts,5.0,7.1,2.0999999999999996
68,20,A_Co,7.0,5.1,2.0
68,27,C_Co_A,2.0,3.666666666666667,1.666666666666667
69,19,Camera,1.0,5.416666666666667,4.416666666666667
69,21,A_L,6.0,1.2999999999999998,4.7
69,22,Co_L,3.0,3.05,0.04999999999999982
69,23,A_C,1.0,1.5499999999999998,0.0
69,25,C_L,1.0,1.0,0.0
70,17,Contacts,4.0,2.6,1.4
70,19,Camera,2.0,2.1999999999999997,0.19999999999999973
70,26,A_L_Co,2.0,3.1999999999999997,1.1999999999999997
70,28,C_L_A,2.0,2.1999999999999997,0.19999999999999973
70,29,C_L_Co,2.0,2.1999999999999997,0.19999999999999973
70,30,C_L_Co_A,2.0,2.1999999999999997,0.0
71,21,A_L,2.0,2.65,0.6499999999999999
71,22,Co_L,3.0,2.6,0.3999999999999999
71,23,A_C,1.0,1.1,0.10000000000000009
71,24,C_Co,1.0,2.3,1.2999999999999998
71,25,C_L,4.0,1.0,3.0
73,17,Contacts,4.0,5.85,1.8499999999999996
73,20,A_Co,4.0,4.85,0.0
73,23,A_C,4.0,2.8499999999999996,1.1500000000000004
73,26,A_L_Co,3.0,5.1,1.0
73,28,C_L_A,2.0,1.0,1.0
74,16,Audio,1.0,2.8499999999999996,1.8499999999999996
74,17,Contacts,6.0,4.6,1.4000000000000004
74,18,Location,6.0,4.6,1.4000000000000004
74,25,C_L,2.0,2.5999999999999996,0.5999999999999996
74,27,C_Co_A,3.0,2.75,0.25
76,18,Location,7.0,4.0,3.0
76,19,Camera,7.0,2.6,4.4
76,20,A_Co,7.0,6.0,1.0
76,21,A_L,5.0,6.25,1.25
76,22,Co_L,6.0,6.125,0.125
76,27,C_Co_A,2.0,3.625,1.625
76,28,C_L_A,2.0,4.225,2.2249999999999996
76,29,C_L_Co,2.0,1.625,0.375
76,30,C_L_Co_A,1.0,3.75,1.0
77,16,Audio,4.0,3.15,0.8500000000000001
77,17,Contacts,7.0,5.0,2.0
77,18,Location,7.0,5.0,2.0
77,23,A_C,5.0,2.7,2.3
77,25,C_L,4.0,4.15,0.15000000000000036
78,19,Camera,6.0,5.916666666666666,0.08333333333333393
78,26,A_L_Co,7.0,5.666666666666666,1.333333333333334
78,28,C_L_A,6.0,5.916666666666666,0.08333333333333393
78,29,C_L_Co,6.0,5.916666666666666,0.08333333333333393
78,30,C_L_Co_A,6.0,5.916666666666666,0.08333333333333393
79,16,Audio,3.0,2.6,0.3999999999999999
79,20,A_Co,2.0,4.083333333333333,1.0
79,21,A_L,3.0,1.0,2.0
79,24,C_Co,2.0,1.0,1.0
79,29,C_L_Co,1.0,1.0,0.0
80,21,A_L,5.0,3.15,1.85
80,22,Co_L,4.0,3.6,0.3999999999999999
80,23,A_C,2.0,2.1,0.10000000000000009
80,24,C_Co,3.0,2.65,0.3500000000000001
80,30,C_L_Co_A,2.0,2.9,0.8999999999999999
81,20,A_Co,4.0,6.1,2.0999999999999996
81,26,A_L_Co,7.0,4.6,3.0
81,27,C_Co_A,2.0,5.1,2.0
